a,b,c,pos,vel,acc
10.0,10.0,10.0,"(99.41666666666666, 12353.937079537365, 915.5096335985381)","(99.75, 10585.490188838186, 460.85065341278323)","(99.91666666666667, 3871.908032202457, 147.9518720763834)"
10.0,10.0,29.76351441631318,"(99.41666666666666, 8662.12256855536, 996.8693562284623)","(99.75, 8676.259693941496, 596.904167592221)","(99.91666666666667, 3693.5969796393956, 231.6184766114087)"
10.0,10.0,88.58667904100822,"(86.75, 5417.863530962975, 1086.972611138884)","(92.0, 6514.238758107107, 778.3785688462963)","(93.5, 3253.2825783237613, 363.84996388696777)"
10.0,10.0,263.6650898730358,"(74.25, 3805.467627600717, 1185.7754926775483)","(82.75, 5550.048667631187, 1018.6029735196744)","(84.75, 3388.6626444846697, 572.6147869034726)"
10.0,10.0,784.7599703514607,"(57.58333333333333, 2145.659565979592, 1293.4713862509557)","(66.41666666666667, 3608.32148202146, 1335.380896631229)","(68.58333333333333, 2750.0265386407646, 902.0631043132366)"
10.0,10.0,2335.7214690901214,"(47.333333333333336, 1109.9748678953906, 1410.3766977844207)","(53.333333333333336, 2281.4639664736465, 1752.3273703090033)","(55.333333333333336, 2005.270635304394, 1421.9169525119846)"
10.0,10.0,6951.927961775606,"(38.25, 772.4990493143359, 1536.8471379260718)","(42.333333333333336, 1398.7986602350152, 2300.6385508840594)","(43.833333333333336, 1375.5201278331533, 2242.328982400331)"
10.0,10.0,20691.3808111479,"(28.999999999999996, 709.8906953582836, 1673.2137564185787)","(34.416666666666664, 1149.4743268907393, 3021.4470315926637)","(34.91666666666667, 984.1834094753298, 3537.4238629866977)"
10.0,10.0,61584.82110660255,"(18.666666666666668, 680.341810185399, 1819.7271653127582)","(25.916666666666664, 1214.3429553167603, 3968.9568778661383)","(26.416666666666664, 1126.374247590178, 5582.644935450729)"
10.0,10.0,183298.07108324338,"(6.583333333333333, 715.7450936624236, 1976.5017166040627)","(17.833333333333336, 1540.66650666057, 5214.6214795258975)","(18.666666666666668, 1606.076131723954, 8814.094492151422)"
10.0,10.0,545559.4781168514,"(2.5833333333333335, 729.9476564902591, 2143.454474694504)","(7.249999999999999, 1918.0596904726904, 6852.730852638637)","(9.25, 2336.3152791386815, 13923.00119907546)"
10.0,10.0,1623776.739188721,"(0.8333333333333334, 750.9459352085081, 2320.236211353271)","(2.4166666666666665, 2402.311188642515, 9007.930293704947)","(3.3333333333333335, 3526.941488811288, 22006.46690944253)"
10.0,10.0,4832930.238571752,"(0.4166666666666667, 787.768176938349, 2506.1537950847887)","(0.33333333333333337, 3001.438728322277, 11845.432229435948)","(0.08333333333333334, 5262.321149376947, 34808.7329489647)"
10.0,10.0,14384498.882876629,"(0.0, 831.0620531832242, 2700.085777265238)","(0.0, 3775.315708035955, 15585.06829928877)","(0.0, 7812.625471062259, 55108.7381383977)"
10.0,10.0,42813323.98719387,"(0.0, 898.0249723420357, 2900.396151007054)","(0.0, 4820.842928323264, 20520.97278485544)","(0.0, 11707.486156525078, 87345.50752330747)"
10.0,10.0,127427498.57031322,"(0.0, 955.438558098982, 3104.8555066157332)","(0.0, 6299.381989737827, 27049.811091513762)","(0.0, 18028.153541137013, 138633.0055758493)"
10.0,10.0,379269019.0732238,"(0.0, 1042.7365125990273, 3310.584221114582)","(0.0, 8211.293203625244, 35712.50722703484)","(0.0, 28274.418648519655, 220418.42346951852)"
10.0,10.0,1128837891.6846883,"(0.0, 1124.1788981605446, 3514.0385010223063)","(0.0, 10960.442595221155, 47258.29404034268)","(0.0, 44394.45620663725, 351214.8700397813)"
10.0,10.0,3359818286.2837744,"(0.0, 1203.5300453180034, 3711.065723684904)","(0.0, 14675.311635372651, 62747.58604939009)","(0.0, 69555.76519791587, 561151.0844065391)"
10.0,10.0,10000000000.0,"(0.0, 1262.580428477494, 3897.0577262608813)","(0.0, 19179.187268899193, 83726.1491628209)","(0.0, 109315.4185353637, 899640.8586420441)"
10.0,29.76351441631318,10.0,"(99.41666666666666, 11343.471717186469, 925.8368085731992)","(99.75, 9856.539548588036, 481.99132072059433)","(99.91666666666667, 3668.3424011001293, 151.38306862772146)"
10.0,29.76351441631318,29.76351441631318,"(99.41666666666666, 8217.45306891564, 1002.6214565340731)","(99.75, 8356.127367929152, 610.9976300761001)","(99.91666666666667, 3583.4794629370076, 234.36088735048278)"
10.0,29.76351441631318,88.58667904100822,"(86.41666666666666, 5297.54142565872, 1090.0874414716086)","(91.75, 6348.257904348111, 787.5582855130904)","(93.58333333333333, 3217.941185577898, 365.99071158289746)"
10.0,29.76351441631318,263.6650898730358,"(73.91666666666666, 3739.6903655908272, 1187.4355488932238)","(82.66666666666667, 5433.832665242966, 1024.5077288261562)","(84.66666666666667, 3314.7998857014722, 574.2647822995851)"
10.0,29.76351441631318,784.7599703514607,"(57.58333333333333, 2126.307537135337, 1294.3480178642321)","(66.41666666666667, 3565.0490133668727, 1339.1546984683587)","(68.33333333333333, 2721.5341646644183, 903.3264926391618)"
10.0,29.76351441631318,2335.7214690901214,"(47.333333333333336, 1103.596558442661, 1410.8369291707081)","(53.333333333333336, 2274.7324524667274, 1754.7315086148694)","(55.25, 2001.4177839081694, 1422.881024336611)"
10.0,29.76351441631318,6951.927961775606,"(38.25, 771.6952210244173, 1537.0877104567342)","(42.25, 1398.961771099297, 2302.1677396510886)","(43.833333333333336, 1373.9004282149115, 2243.0633122749928)"
10.0,29.76351441631318,20691.3808111479,"(28.999999999999996, 709.9899970414606, 1673.3390228423461)","(34.416666666666664, 1149.6136039036069, 3022.4190036219406)","(34.91666666666667, 984.2832689639511, 3537.9826124833244)"
10.0,29.76351441631318,61584.82110660255,"(18.666666666666668, 680.3584017943381, 1819.792134518329)","(25.916666666666664, 1214.472735577648, 3969.5745194566207)","(26.416666666666664, 1126.564165170482, 5583.069791933193)"
10.0,29.76351441631318,183298.07108324338,"(6.583333333333333, 715.7580178475862, 1976.535265829428)","(17.833333333333336, 1540.7043921686004, 5215.013970869575)","(18.666666666666668, 1606.0914010040422, 8814.417364270234)"
10.0,29.76351441631318,545559.4781168514,"(2.5833333333333335, 729.9548436632267, 2143.4717121306653)","(7.249999999999999, 1918.0996094726925, 6852.9803267442285)","(9.25, 2336.28097474527, 13923.246443434084)"
10.0,29.76351441631318,1623776.739188721,"(0.8333333333333334, 750.948539726674, 2320.2450158076167)","(2.4166666666666665, 2402.3359532634454, 9008.088933561718)","(3.3333333333333335, 3526.911909824378, 22006.653092109187)"
10.0,29.76351441631318,4832930.238571752,"(0.4166666666666667, 787.7692804406649, 2506.15826098196)","(0.33333333333333337, 3001.457489974956, 11845.533177624502)","(0.08333333333333334, 5262.307493544881, 34808.87421185903)"
10.0,29.76351441631318,14384498.882876629,"(0.0, 831.0615741612139, 2700.0880239048456)","(0.0, 3775.314708086219, 15585.132601911742)","(0.0, 7812.592347432119, 55108.84524932601)"
10.0,29.76351441631318,42813323.98719387,"(0.0, 898.0255429705951, 2900.3972702099413)","(0.0, 4820.844335370564, 20521.013805756735)","(0.0, 11707.479412694982, 87345.58867923691)"
10.0,29.76351441631318,127427498.57031322,"(0.0, 955.4388826450331, 3104.8560577207813)","(0.0, 6299.385346323557, 27049.837316569134)","(0.0, 18028.146362174495, 138633.0670160506)"
10.0,29.76351441631318,379269019.0732238,"(0.0, 1042.7367947041053, 3310.584488747415)","(0.0, 8211.296354998678, 35712.52404508502)","(0.0, 28274.412898665825, 220418.46994308758)"
10.0,29.76351441631318,1128837891.6846883,"(0.0, 1124.1789173635357, 3514.038628848294)","(0.0, 10960.444773100282, 47258.30487402132)","(0.0, 44394.443380805504, 351214.90516196005)"
10.0,29.76351441631318,3359818286.2837744,"(0.0, 1203.5300719840889, 3711.065783514886)","(0.0, 14675.313400300907, 62747.59307308941)","(0.0, 69555.76237916062, 561151.1109302245)"
10.0,29.76351441631318,10000000000.0,"(0.0, 1262.5804254050227, 3897.0577535702746)","(0.0, 19179.18741912367, 83726.1537584901)","(0.0, 109315.41341583131, 899640.8786645649)"
10.0,88.58667904100822,10.0,"(99.41666666666666, 9440.727437850972, 951.631057205888)","(99.75, 8684.770453644265, 536.0978713984905)","(99.91666666666667, 3387.4354559298854, 160.1352744741164)"
10.0,88.58667904100822,29.76351441631318,"(99.41666666666666, 7396.9201709811605, 1018.155866437604)","(99.75, 7822.384584260071, 649.544080817039)","(99.91666666666667, 3397.283284449385, 241.85421162342146)"
10.0,88.58667904100822,88.58667904100822,"(85.66666666666667, 5095.427408123709, 1098.8991970443426)","(91.5, 6100.038817523664, 813.693915599864)","(94.5, 3158.271180641677, 372.08422669197876)"
10.0,88.58667904100822,263.6650898730358,"(73.58333333333333, 3572.627377964276, 1192.2515536164804)","(81.91666666666667, 5125.225889695657, 1041.6927309125576)","(84.58333333333333, 3171.9530188868666, 579.0666943279795)"
10.0,88.58667904100822,784.7599703514607,"(57.25, 2067.2273706078845, 1296.9243532968032)","(65.91666666666667, 3503.9404796319022, 1350.2630847041773)","(68.08333333333333, 2691.748678939181, 907.0453596639378)"
10.0,88.58667904100822,2335.7214690901214,"(47.083333333333336, 1091.3144888631268, 1412.1982728177466)","(53.166666666666664, 2232.5098321061528, 1761.8484211575742)","(55.08333333333333, 1989.4819886816354, 1425.7349687041142)"
10.0,88.58667904100822,6951.927961775606,"(38.083333333333336, 768.5850174017512, 1537.801578368347)","(42.083333333333336, 1394.8823752571884, 2306.7071796710093)","(43.666666666666664, 1371.5403361547596, 2245.24320593939)"
10.0,88.58667904100822,20691.3808111479,"(28.833333333333332, 709.5868582759258, 1673.7113121038103)","(34.416666666666664, 1150.0277621726614, 3025.3082468267617)","(34.91666666666667, 986.4416662732757, 3539.6435346951375)"
10.0,88.58667904100822,61584.82110660255,"(18.666666666666668, 680.4077235503404, 1819.985367572516)","(25.833333333333336, 1214.8590557418324, 3971.4117038886434)","(26.416666666666664, 1126.9606653215828, 5584.333537138397)"
10.0,88.58667904100822,183298.07108324338,"(6.583333333333333, 715.7964740074374, 1976.6350854235573)","(17.833333333333336, 1540.46224221688, 5216.181814624796)","(18.666666666666668, 1606.135558948004, 8815.378059835286)"
10.0,88.58667904100822,545559.4781168514,"(2.5833333333333335, 729.9762303105573, 2143.5230081248205)","(7.249999999999999, 1918.218403006822, 6853.72274235171)","(9.25, 2336.178891106367, 13923.976272170308)"
10.0,88.58667904100822,1623776.739188721,"(0.8333333333333334, 750.9562907161073, 2320.2712187998877)","(2.4166666666666665, 2402.409651710098, 9008.56106866782)","(3.3333333333333335, 3526.8238820262013, 22007.207198801665)"
10.0,88.58667904100822,4832930.238571752,"(0.4166666666666667, 787.7725647175738, 2506.1715525275013)","(0.33333333333333337, 3001.5133303540724, 11845.83362481884)","(0.08333333333333334, 5262.266853102135, 34809.294645835376)"
10.0,88.58667904100822,14384498.882876629,"(0.0, 831.0601484951869, 2700.0947105626406)","(0.0, 3775.3117321943655, 15585.323986015821)","(0.0, 7812.49376331597, 55109.164043955694)"
10.0,88.58667904100822,42813323.98719387,"(0.0, 898.0272413430372, 2900.400601319059)","(0.0, 4820.848523133869, 20521.13589742239)","(0.0, 11707.45934070646, 87345.83022592789)"
10.0,88.58667904100822,127427498.57031322,"(0.0, 955.439848601832, 3104.857697995352)","(0.0, 6299.395336674326, 27049.91537125734)","(0.0, 18028.12499531005, 138633.2498829976)"
10.0,88.58667904100822,379269019.0732238,"(0.0, 1042.737634345755, 3310.585285314933)","(0.0, 8211.305734556623, 35712.57410142261)","(0.0, 28274.39578514834, 220418.6082645123)"
10.0,88.58667904100822,1128837891.6846883,"(0.0, 1124.1789745184196, 3514.039009302921)","(0.0, 10960.451255230206, 47258.3371188285)","(0.0, 44394.405206693744, 351215.0096978163)"
10.0,88.58667904100822,3359818286.2837744,"(0.0, 1203.5301513517168, 3711.0659615898353)","(0.0, 14675.318653346403, 62747.61397807843)","(0.0, 69555.7539895584, 561151.1898740007)"
10.0,88.58667904100822,10000000000.0,"(0.0, 1262.580416260276, 3897.0578348526014)","(0.0, 19179.18786624458, 83726.16743681401)","(0.0, 109315.39817831287, 899640.938258612)"
10.0,263.6650898730358,10.0,"(99.41666666666666, 7067.939533006071, 1005.1354181740936)","(99.75, 7330.182899999023, 655.2182655632744)","(99.91666666666667, 3159.4393209022746, 179.12655124882983)"
10.0,263.6650898730358,29.76351441631318,"(98.75, 6040.0492460298665, 1054.905189983639)","(99.75, 6613.894686317351, 743.8766698773602)","(99.91666666666667, 3132.2734044534186, 260.08947149694507)"
10.0,263.6650898730358,88.58667904100822,"(82.66666666666667, 4536.4789483603445, 1121.8723832915862)","(91.83333333333333, 5495.98408622114, 883.0731363906309)","(99.08333333333333, 3013.926389206761, 388.23148330970344)"
10.0,263.6650898730358,263.6650898730358,"(70.33333333333334, 3145.3050820293784, 1205.602843108015)","(80.5, 4516.916275610556, 1089.776686194853)","(84.16666666666667, 2864.7038684565805, 592.4965525056172)"
10.0,263.6650898730358,784.7599703514607,"(56.08333333333333, 1941.6506896573073, 1304.3186408322842)","(64.41666666666667, 3310.1640464653296, 1382.2935538228444)","(66.83333333333333, 2550.8473113946275, 917.7676856267434)"
10.0,263.6650898730358,2335.7214690901214,"(46.916666666666664, 1059.4124330248515, 1416.1773195748958)","(52.583333333333336, 2160.5344561385027, 1782.698640426558)","(54.833333333333336, 1978.3243244579076, 1434.0961208937051)"
10.0,263.6650898730358,6951.927961775606,"(37.916666666666664, 762.1894694883922, 1539.9074400889674)","(41.833333333333336, 1379.3303104763734, 2320.113723195078)","(43.25, 1363.562568476833, 2251.681281999749)"
10.0,263.6650898730358,20691.3808111479,"(28.749999999999996, 709.4130149019747, 1674.8145589948494)","(34.333333333333336, 1149.4035360073835, 3033.8752205385604)","(34.833333333333336, 987.9144227963511, 3544.568434920252)"
10.0,263.6650898730358,61584.82110660255,"(18.5, 680.5539903506864, 1820.5592776053236)","(25.75, 1215.3214614749581, 3976.8697995631337)","(26.416666666666664, 1124.959575826435, 5588.088026566672)"
10.0,263.6650898730358,183298.07108324338,"(6.583333333333333, 715.9108382845013, 1976.93187681585)","(17.833333333333336, 1539.5248975491138, 5219.654646719911)","(18.666666666666668, 1605.6652374874732, 8818.23490385461)"
10.0,263.6650898730358,545559.4781168514,"(2.5833333333333335, 730.0398410889604, 2143.67560625518)","(7.166666666666667, 1918.5718025384767, 6855.931484954373)","(9.25, 2335.0414228589907, 13926.147572514124)"
10.0,263.6650898730358,1623776.739188721,"(0.8333333333333334, 750.9793517785072, 2320.349189003246)","(2.4166666666666665, 2402.628917693257, 9009.96601768771)","(3.3333333333333335, 3526.561965901884, 22008.856075400072)"
10.0,263.6650898730358,4832930.238571752,"(0.4166666666666667, 787.7823386947401, 2506.2111081091216)","(0.33333333333333337, 3001.679523034755, 11846.727771872447)","(0.08333333333333334, 5262.1459292809295, 34810.54588072848)"
10.0,263.6650898730358,14384498.882876629,"(0.0, 831.0559058482199, 2700.114611243724)","(0.0, 3775.3028776398987, 15585.893584905976)","(0.0, 7812.20037288102, 55110.112843315284)"
10.0,263.6650898730358,42813323.98719387,"(0.0, 898.0322961307465, 2900.410515586938)","(0.0, 4820.860986468873, 20521.499276685292)","(0.0, 11707.399599591392, 87346.54913714707)"
10.0,263.6650898730358,127427498.57031322,"(0.0, 955.442723572844, 3104.8625799603997)","(0.0, 6299.425071221229, 27050.147686844062)","(0.0, 18028.061402237807, 138633.79415323297)"
10.0,263.6650898730358,379269019.0732238,"(0.0, 1042.7401333948337, 3310.587656163427)","(0.0, 8211.333651090712, 35712.723085875354)","(0.0, 28274.344849909485, 220419.0199554735)"
10.0,263.6650898730358,1128837891.6846883,"(0.0, 1124.1791446317154, 3514.040141665728)","(0.0, 10960.470548293939, 47258.43309046009)","(0.0, 44394.2915877504, 351215.32083245827)"
10.0,263.6650898730358,3359818286.2837744,"(0.0, 1203.5303875775592, 3711.0664916025694)","(0.0, 14675.334288245354, 62747.67619859629)","(0.0, 69555.7290191954, 561151.4248381307)"
10.0,263.6650898730358,10000000000.0,"(0.0, 1262.5803890423556, 3897.0580767771685)","(0.0, 19179.189197033724, 83726.20814828949)","(0.0, 109315.35282618075, 899641.1156313334)"
10.0,784.7599703514607,10.0,"(99.41666666666666, 4574.212822500671, 1094.0192630930308)","(99.75, 5626.668505816, 877.7793381552923)","(99.91666666666667, 3011.621005494394, 213.298283560985)"
10.0,784.7599703514607,29.76351441631318,"(94.25, 4135.299541763092, 1125.5795801804416)","(99.75, 5172.8668339827, 939.9508574350542)","(99.91666666666667, 2880.541837435043, 297.192389880645)"
10.0,784.7599703514607,88.58667904100822,"(76.66666666666667, 3382.5724461731315, 1172.869058628526)","(90.66666666666666, 4506.115260096589, 1044.386072587628)","(99.91666666666667, 2756.5297114740433, 425.4344427606336)"
10.0,784.7599703514607,263.6650898730358,"(64.58333333333334, 2531.666135728171, 1238.8891163384815)","(74.16666666666667, 3697.87469693587, 1212.749954923133)","(84.0, 2559.4024017852657, 626.7357407168054)"
10.0,784.7599703514607,784.7599703514607,"(53.41666666666667, 1644.0020198520072, 1324.2682782232887)","(61.25000000000001, 2847.546022060621, 1469.870001322724)","(65.66666666666666, 2261.390659690369, 947.0592181954271)"
10.0,784.7599703514607,2335.7214690901214,"(45.58333333333333, 968.2148684200953, 1427.4281280418147)","(51.16666666666667, 2048.3566341181195, 1842.0540035714437)","(54.083333333333336, 1871.3781966017677, 1457.894223472772)"
10.0,784.7599703514607,6951.927961775606,"(37.25, 748.1864790117106, 1546.0151314750858)","(41.333333333333336, 1345.6968914874767, 2359.1300456685217)","(43.166666666666664, 1346.420502503577, 2270.4175809731255)"
10.0,784.7599703514607,20691.3808111479,"(28.499999999999996, 707.5801194970019, 1678.056427469237)","(34.166666666666664, 1151.3221485652125, 3059.0922662420935)","(34.833333333333336, 986.4798901931911, 3559.0652783262085)"
10.0,784.7599703514607,61584.82110660255,"(18.416666666666668, 680.809554065085, 1822.2567433107458)","(25.083333333333336, 1218.7780958223211, 3993.0272367869898)","(26.333333333333332, 1124.4012721769286, 5599.202524558757)"
10.0,784.7599703514607,183298.07108324338,"(6.5, 715.9977530465567, 1977.8125280030536)","(17.833333333333336, 1540.5756187232723, 5229.963855130786)","(18.666666666666668, 1605.883565975041, 8826.715625833793)"
10.0,784.7599703514607,545559.4781168514,"(2.5833333333333335, 730.2287860772506, 2144.1291134358917)","(7.083333333333333, 1919.6221331868553, 6862.497108913312)","(9.25, 2333.134968562442, 13932.601937016216)"
10.0,784.7599703514607,1623776.739188721,"(0.8333333333333334, 751.0479134724494, 2320.5810866360503)","(2.3333333333333335, 2403.2807652049873, 9014.145065021208)","(3.25, 3525.783167815741, 22013.760706099085)"
10.0,784.7599703514607,4832930.238571752,"(0.4166666666666667, 787.8114189916155, 2506.3287975517305)","(0.33333333333333337, 3002.1741007142555, 11849.388276349058)","(0.08333333333333334, 5261.78633973499, 34814.26889427097)"
10.0,784.7599703514607,14384498.882876629,"(0.0, 831.043283872765, 2700.173832369338)","(0.0, 3775.2765476804543, 15587.58866815689)","(0.0, 7811.327410291668, 55112.936400727565)"
10.0,784.7599703514607,42813323.98719387,"(0.0, 898.0473394889401, 2900.440021420953)","(0.0, 4820.898073591209, 20522.580746301537)","(0.0, 11707.221790605412, 87348.68872235385)"
10.0,784.7599703514607,127427498.57031322,"(0.0, 955.4512800017856, 3104.877109797027)","(0.0, 6299.343604095977, 27050.839116670613)","(0.0, 18027.872146615948, 138635.4140389997)"
10.0,784.7599703514607,379269019.0732238,"(0.0, 1042.7475712699857, 3310.5947124965696)","(0.0, 8211.416737612954, 35713.166508880786)","(0.0, 28274.193254085792, 220420.24527287582)"
10.0,784.7599703514607,1128837891.6846883,"(0.0, 1124.1796509511128, 3514.0435119411027)","(0.0, 10960.527970939087, 47258.718733578244)","(0.0, 44393.953423418396, 351216.24687137036)"
10.0,784.7599703514607,3359818286.2837744,"(0.0, 1203.53109066768, 3711.0680690987465)","(0.0, 14675.380823104486, 62747.8613880483)","(0.0, 69555.65469898723, 561152.124171366)"
10.0,784.7599703514607,10000000000.0,"(0.0, 1262.580308032815, 3897.0587968278724)","(0.0, 19179.193157932266, 83726.32931973832)","(0.0, 109315.21784299213, 899641.6435539471)"
10.0,2335.7214690901214,10.0,"(83.75, 2748.8583189964666, 1217.6896752662806)","(99.75, 4097.73837853615, 1249.0745137309136)","(99.91666666666667, 2878.1599039216003, 268.14451696099525)"
10.0,2335.7214690901214,29.76351441631318,"(74.33333333333333, 2486.156987034705, 1235.09930921729)","(95.83333333333334, 3744.697128434311, 1289.8887945016093)","(99.91666666666667, 2655.7812331833375, 360.1625697477941)"
10.0,2335.7214690901214,88.58667904100822,"(68.5, 2139.9111155077767, 1263.6771227515073)","(79.75, 3313.6882575435784, 1361.4392917586824)","(99.91666666666667, 2503.6594567250913, 496.40085644987914)"
10.0,2335.7214690901214,263.6650898730358,"(59.333333333333336, 1722.6532138565112, 1307.694749692718)","(67.58333333333333, 2852.048073988456, 1483.2148487110726)","(88.16666666666667, 2320.7121967491958, 700.9807713091717)"
10.0,2335.7214690901214,784.7599703514607,"(48.083333333333336, 1278.9546250169656, 1371.3570153383628)","(55.50000000000001, 2257.6061196586, 1684.065127346725)","(65.08333333333334, 2054.8540696528553, 1018.3168611607499)"
10.0,2335.7214690901214,2335.7214690901214,"(41.583333333333336, 875.6004750232671, 1456.7213901690845)","(47.083333333333336, 1736.0830221360204, 1999.5745853315514)","(51.74999999999999, 1685.7517778520287, 1520.9494648620032)"
10.0,2335.7214690901214,6951.927961775606,"(34.66666666666667, 732.8651517610571, 1562.9347033914662)","(40.08333333333333, 1240.8493491248423, 2468.2870492366533)","(42.16666666666667, 1321.0130907469484, 2322.817902370363)"
10.0,2335.7214690901214,20691.3808111479,"(28.000000000000004, 701.3360158114278, 1687.3569874829027)","(33.5, 1137.4940638528772, 3131.8020558396024)","(34.416666666666664, 990.5726077805609, 3600.8635907039206)"
10.0,2335.7214690901214,61584.82110660255,"(17.75, 683.167194545955, 1827.2170854072785)","(24.083333333333336, 1222.5121414868543, 4040.362979499644)","(26.083333333333332, 1122.3545997764636, 5631.76511128714)"
10.0,2335.7214690901214,183298.07108324338,"(6.333333333333334, 717.1863073579173, 1980.4100496663261)","(17.583333333333336, 1542.34443910497, 5260.410604510286)","(18.416666666666668, 1599.620853520587, 8851.76287713718)"
10.0,2335.7214690901214,545559.4781168514,"(2.5, 730.648121888161, 2145.4729427567495)","(7.083333333333333, 1916.7404921993596, 6881.965094639772)","(9.25, 2331.952597492071, 13951.740348799603)"
10.0,2335.7214690901214,1623776.739188721,"(0.8333333333333334, 751.2513055457598, 2321.26980275989)","(2.25, 2406.7065031931124, 9026.560649417086)","(3.25, 3523.471853778095, 22028.33207349053)"
10.0,2335.7214690901214,4832930.238571752,"(0.4166666666666667, 787.8978793335023, 2506.6787124114294)","(0.33333333333333337, 3003.2911489975295, 11857.299873785349)","(0.08333333333333334, 5260.718919506875, 34825.34015109478)"
10.0,2335.7214690901214,14384498.882876629,"(0.0, 831.0057662705781, 2700.350004124936)","(0.0, 3775.1983953898316, 15592.631678723721)","(0.0, 7808.731560013595, 55121.33673323908)"
10.0,2335.7214690901214,42813323.98719387,"(0.0, 898.0921008232477, 2900.527818913055)","(0.0, 4821.008386034403, 20525.798917791613)","(0.0, 11706.601337489727, 87355.05557603238)"
10.0,2335.7214690901214,127427498.57031322,"(0.0, 955.476742555819, 3104.920350320352)","(0.0, 6298.9641394805385, 27052.89685107791)","(0.0, 18027.3090299319, 138640.23491241992)"
10.0,2335.7214690901214,379269019.0732238,"(0.0, 1042.7697074664343, 3310.615713337834)","(0.0, 8211.664006666371, 35714.486228822)","(0.0, 28273.742099005132, 220423.89207462486)"
10.0,2335.7214690901214,1128837891.6846883,"(0.0, 1124.1811579572732, 3514.0535427612754)","(0.0, 10960.698878317351, 47259.568888521855)","(0.0, 44392.94697689471, 351219.00302547915)"
10.0,2335.7214690901214,3359818286.2837744,"(0.0, 1203.5331833020489, 3711.0727642110296)","(0.0, 14675.519326358644, 62748.412570951914)","(0.0, 69555.43349918601, 561154.2056098913)"
10.0,2335.7214690901214,10000000000.0,"(0.0, 1262.5800669248752, 3897.060939935626)","(0.0, 19179.204946978352, 83726.68996669525)","(0.0, 109314.81609174021, 899643.2148288374)"
10.0,6951.927961775606,10.0,"(48.333333333333336, 1349.3708402580312, 1372.0573971101467)","(73.33333333333333, 2722.7431927245943, 1834.156312545213)","(99.91666666666667, 2559.3754291494815, 356.6621500955588)"
10.0,6951.927961775606,29.76351441631318,"(47.25, 1320.325846730167, 1380.4027551693462)","(64.25, 2601.6659237846434, 1858.9225916515197)","(99.91666666666667, 2440.5642385963647, 455.77954751903974)"
10.0,6951.927961775606,88.58667904100822,"(44.83333333333333, 1276.3546514421676, 1395.860548093407)","(62.0, 2375.488999457213, 1905.9762919100692)","(99.91666666666667, 2271.422391400226, 610.8147218175666)"
10.0,6951.927961775606,263.6650898730358,"(40.25, 1154.3775580261276, 1421.3569444395976)","(52.083333333333336, 2085.4482916686566, 1988.0733907073609)","(93.66666666666667, 2144.656745544069, 834.1358032694441)"
10.0,6951.927961775606,784.7599703514607,"(38.666666666666664, 994.1540272010442, 1461.5417073993083)","(46.416666666666664, 1853.0240415593053, 2128.993708527642)","(68.83333333333333, 1977.521626558007, 1163.2599077467225)"
10.0,6951.927961775606,2335.7214690901214,"(36.083333333333336, 828.7801095970447, 1521.5586431716774)","(42.16666666666667, 1458.2806858793822, 2365.6747812656477)","(49.916666666666664, 1667.7794019026296, 1666.2091452981183)"
10.0,6951.927961775606,6951.927961775606,"(30.416666666666664, 717.4203510629999, 1605.0382369372076)","(36.083333333333336, 1151.6881748899384, 2747.397672814392)","(39.666666666666664, 1330.5297374346592, 2456.4114687970764)"
10.0,6951.927961775606,20691.3808111479,"(26.333333333333332, 683.3076308038962, 1712.4213561510126)","(31.916666666666664, 1129.935319445106, 3330.588589312497)","(32.33333333333333, 1005.6228724854498, 3715.055210303675)"
10.0,6951.927961775606,61584.82110660255,"(16.166666666666664, 683.3485401607336, 1841.2332592606833)","(23.166666666666664, 1240.4579645210779, 4175.114484132995)","(25.5, 1113.604944931394, 5724.452254450926)"
10.0,6951.927961775606,183298.07108324338,"(6.0, 716.8091730733744, 1987.9408483479756)","(17.416666666666668, 1544.6413225198305, 5349.0187989308115)","(18.333333333333332, 1600.2411120153438, 8924.659356576904)"
10.0,6951.927961775606,545559.4781168514,"(2.3333333333333335, 732.4228257974808, 2149.4208935838783)","(6.75, 1920.2561214770944, 6939.270132660578)","(9.083333333333334, 2323.6601039950965, 14008.07744145628)"
10.0,6951.927961775606,1623776.739188721,"(0.8333333333333334, 751.5130378362646, 2323.3065763308277)","(1.7500000000000002, 2410.6555037660873, 9063.314506541506)","(3.0, 3516.6102541589207, 22071.468786860583)"
10.0,6951.927961775606,4832930.238571752,"(0.4166666666666667, 788.1543964655702, 2507.716918254256)","(0.33333333333333337, 3004.4913450407885, 11880.785876794276)","(0.08333333333333334, 5257.566839941641, 34858.206228085175)"
10.0,6951.927961775606,14384498.882876629,"(0.0, 830.8945403673378, 2700.873547889894)","(0.0, 3775.4122618854713, 15607.6224247415)","(0.0, 7801.228732817398, 55146.30755157885)"
10.0,6951.927961775606,42813323.98719387,"(0.0, 898.2252113625575, 2900.78893832647)","(0.0, 4821.336084969556, 20535.371468151447)","(0.0, 11704.178268968117, 87373.99403271159)"
10.0,6951.927961775606,127427498.57031322,"(0.0, 955.5524892402719, 3105.0490017098246)","(0.0, 6298.362167997361, 27059.019587883275)","(0.0, 18025.634541758114, 138654.57931224335)"
10.0,6951.927961775606,379269019.0732238,"(0.0, 1042.8355789813904, 3310.67820783245)","(0.0, 8212.399739231118, 35718.41362335167)","(0.0, 28272.39972242434, 220434.74470196984)"
